,0,1,2,3,4,5,6,7,8,9,Family ID,Paternal ID,Maternal ID,Gender,Phenotype,Population,Relationship,Siblings,Second Order,Third Order,Children,Other Comments,phase 3 genotypes,related genotypes,omni genotypes,affy_genotypes,Population Description,Continental,Sequence Data Available,Alignment Data Available,Variant Data Available
HG01583,-64.6842,21.28778,-106.89445,-40.39015,18.166542,2.3871562,1.8150942,-31.655428,-15.076707,-27.74346,PK02,0,0,1,0,PJL,father,0,0,0,0,0,1,0,0,1,"Punjabi from Lahore, Pakistan",SAS,1.0,1.0,1.0
HG01586,-81.32235,56.14496,-49.03444,1.5530325,8.863708,-12.639801,-12.032887,-0.1200182,-14.748939,-6.3773136,PK03,0,0,1,0,PJL,father,0,0,0,0,0,1,0,0,1,"Punjabi from Lahore, Pakistan",SAS,1.0,1.0,1.0
HG01589,-79.69134,65.319,-134.81084,-128.60033,-35.43326,39.096325,21.547705,-49.746246,-5.4883432,192.36607,PK04,0,0,1,0,PJL,father,0,0,0,0,0,1,0,0,1,"Punjabi from Lahore, Pakistan",SAS,1.0,1.0,1.0
HG01593,-85.62965,89.7015,-76.85939,-9.054498,-5.936623,-11.568419,2.8888671,19.835096,4.4382935,-54.818398,PK05,0,0,2,0,PJL,mother,0,0,0,HG01594,0,1,0,0,1,"Punjabi from Lahore, Pakistan",SAS,1.0,1.0,1.0
HG01595,-118.07594,-154.87961,12.537715,-34.23686,-12.29626,19.292294,-6.5443463,21.203924,10.550407,32.35841,VN001,0,0,2,0,KHV,unrel,0,0,0,0,0,1,0,1,1,"Kinh in Ho Chi Minh City, Vietnam",EAS,1.0,1.0,1.0
HG01596,-110.23708,-166.7182,6.2176332,-19.897354,16.678185,4.9121733,-16.319246,-3.3385725,-14.102709,2.5711384,VN002,0,0,1,0,KHV,unrel,0,0,0,0,0,1,0,1,1,"Kinh in Ho Chi Minh City, Vietnam",EAS,1.0,1.0,1.0
HG01597,-115.40864,-181.50832,36.60624,6.412984,0.34070185,-0.9875911,13.829911,-0.8215104,-0.024969023,7.580726,VN003,0,0,2,0,KHV,unrel,0,0,0,0,0,1,0,1,1,"Kinh in Ho Chi Minh City, Vietnam",EAS,1.0,1.0,1.0
HG01598,-118.29407,-154.83087,18.535177,0.19228289,10.903731,15.452485,3.7994423,19.241781,3.9285486,22.826193,VN004,0,0,2,0,KHV,unrel,0,0,0,0,0,1,0,1,1,"Kinh in Ho Chi Minh City, Vietnam",EAS,1.0,1.0,1.0
HG01879,203.59201,21.478836,21.7277,31.177546,-45.354034,48.63017,37.270824,135.08551,84.27646,120.05421,BB01,0,0,1,0,ACB,father,0,0,0,HG01881,0,1,0,1,1,African Caribbeans in Barbados,AFR,1.0,1.0,1.0
HG01880,97.32381,-25.154154,-75.17807,27.257208,-0.20215024,44.841343,-115.5662,59.358215,-44.06215,-26.508883,BB01,0,0,2,0,ACB,mother,0,0,0,HG01881,0,1,0,1,1,African Caribbeans in Barbados,AFR,1.0,1.0,1.0
HG01882,249.77815,7.2324066,-9.546913,37.839645,138.99063,77.44944,79.72463,-86.145966,-113.51506,3.501777,BB02,0,0,1,0,ACB,father,0,0,0,HG01888,0,1,0,1,1,African Caribbeans in Barbados,AFR,1.0,1.0,1.0
HG01883,137.0133,50.955124,3.1728327,-21.61116,3.0547311,6.44838,122.83354,-16.119366,91.74779,112.57183,BB02,0,0,2,0,ACB,mother,0,0,0,HG01888,0,1,0,1,1,African Caribbeans in Barbados,AFR,1.0,1.0,1.0
HG02461,269.8852,-19.035831,39.101368,20.010183,64.0239,136.07751,-33.33247,-83.21303,-44.641468,10.887524,GB15,0,0,1,0,GWD,father,0,0,0,HG02463,0,1,0,0,1,Gambian in Western Divisions in the Gambia,AFR,1.0,1.0,1.0
HG02462,252.73177,-8.310307,-6.935517,61.94988,-19.133862,221.56862,47.296497,88.88724,53.479397,-31.55845,GB15,0,0,2,0,GWD,mother,0,0,0,HG02463,0,1,0,0,1,Gambian in Western Divisions in the Gambia,AFR,1.0,1.0,1.0
HG02464,255.6435,-2.1756928,-6.284129,-11.634559,40.185543,86.422195,148.74994,-219.10472,59.733814,-69.03905,GB16,0,0,1,0,GWD,father,0,0,0,HG02466,0,1,0,0,1,Gambian in Western Divisions in the Gambia,AFR,1.0,1.0,1.0
HG02465,247.38107,-22.778414,26.253147,-37.528076,-52.502342,96.72018,95.888954,-166.60085,47.13557,6.1404095,GB16,0,0,2,0,GWD,mother,0,0,0,HG02466,0,1,0,0,1,Gambian in Western Divisions in the Gambia,AFR,1.0,1.0,1.0
HG02922,297.9215,-23.663774,29.565067,14.407285,232.25253,-42.30281,-87.2126,-5.4332933,-168.5103,154.20924,NG06,0,0,2,0,ESN,mother,0,0,0,HG02924,0,1,0,0,1,Esan in Nigeria,AFR,1.0,1.0,1.0
HG02923,272.18103,-25.272333,-19.34586,-27.374634,-181.63695,-27.495216,54.482853,-97.2932,-41.181248,-115.66699,NG06,0,0,1,0,ESN,father,0,0,0,HG02924,0,1,0,0,1,Esan in Nigeria,AFR,1.0,1.0,1.0
HG02938,270.5042,-18.714138,34.514095,11.012274,-21.084175,78.24347,2.2953777,143.43959,-124.95636,-12.166902,NG11,0,0,1,0,ESN,father,0,0,0,HG02939,0,1,0,0,1,Esan in Nigeria,AFR,1.0,1.0,1.0
HG02941,264.7163,-34.724155,-39.790478,22.939848,-92.52647,-189.68794,-180.34837,-25.046885,52.29043,-28.361366,NG12,0,0,1,0,ESN,father,0,0,0,HG02942,0,1,0,0,1,Esan in Nigeria,AFR,1.0,1.0,1.0
HG03006,-92.08727,-31.448116,-77.93584,-9.0733,-3.5125518,-2.4998515,5.2045345,27.23772,-4.36321,-10.4933,BD01,0,0,1,0,BEB,father,0,0,0,HG03008,0,1,0,0,1,Bengali from Bangladesh,SAS,1.0,1.0,1.0
HG03007,-93.09966,4.181414,-117.4645,-38.039665,28.176954,0.9316817,15.840562,-6.1582503,-19.353949,-14.115266,BD01,0,0,2,0,BEB,mother,0,0,0,HG03008,0,1,0,0,1,Bengali from Bangladesh,SAS,1.0,1.0,1.0
HG03009,-72.49634,-16.736198,-74.514015,-68.59894,13.053202,20.61815,1.157916,-2.772059,-6.3752275,-1.9112563,HG03009,0,0,1,0,BEB,unrel,0,0,0,0,0,1,0,0,1,Bengali from Bangladesh,SAS,1.0,1.0,1.0
HG03012,-90.65148,-28.572495,-126.96157,-20.168089,17.818125,-24.295,6.6269956,-13.793545,12.182487,-83.75178,BD3,0,0,1,0,BEB,father,0,0,0,0,0,1,0,0,1,Bengali from Bangladesh,SAS,1.0,1.0,1.0
HG03052,297.29453,-16.055351,-21.953281,22.066114,159.49962,124.0807,-102.42264,61.70251,163.4946,-101.220924,SL01,0,0,2,0,MSL,mother,0,0,0,HG03053,0,1,0,0,1,Mende in Sierra Leone,AFR,1.0,1.0,1.0
HG03054,267.17224,-24.404459,0.49358374,30.733427,133.81944,69.19169,21.076118,85.58743,-10.8225765,-105.59073,SL02,0,0,1,0,MSL,father,0,0,0,HG03056,0,1,0,0,1,Mende in Sierra Leone,AFR,1.0,1.0,1.0
HG03055,286.37305,-26.62108,-39.584305,-12.462775,-169.53836,140.25226,-171.95294,28.10488,33.637077,36.67,SL02,0,0,2,0,MSL,mother,0,0,0,HG03056,0,1,0,0,1,Mende in Sierra Leone,AFR,1.0,1.0,1.0
HG03057,289.97015,-22.10208,-7.4550877,-21.096542,-39.04585,-135.69937,52.6828,7.9565063,155.23225,-87.431816,HG03057,0,0,1,0,MSL,unrel,0,0,0,0,0,1,0,0,1,Mende in Sierra Leone,AFR,1.0,1.0,1.0
HG03642,-77.95477,-26.157246,-126.08112,-48.524372,-11.098999,30.213457,4.874428,24.407774,-12.356182,-14.336113,ST006,0,0,2,0,STU,mother,0,0,0,"HG04204,HG04215",0,1,0,0,1,Sri Lankan Tamil from the UK,SAS,1.0,1.0,1.0
HG03643,-87.42534,8.755694,-203.53333,-12.423215,6.51559,38.178062,-18.966707,5.5669928,4.324427,21.55122,ST004,0,0,2,0,STU,mother,0,0,0,0,0,1,0,0,1,Sri Lankan Tamil from the UK,SAS,1.0,1.0,1.0
